epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,10103.5,0.00936,0.01803,2.28938,1.38814,0.51259,0.28492,0.33562,0.17573,0.51636,0.28921,0.34205,0.15866,0.01149,0.0194,2.35908,1.61622,0.001505,0.001505,0.001505
57,10283.3,0.00912,0.01767,2.20198,1.37739,0.45258,0.37815,0.31926,0.16154,0.51206,0.29489,0.33526,0.14332,0.0118,0.01956,2.36099,1.66788,0.001496,0.001496,0.001496
58,10462,0.00916,0.01754,2.23804,1.37859,0.52273,0.32376,0.34269,0.17652,0.52389,0.34745,0.34271,0.15748,0.01164,0.01898,2.30022,1.62927,0.001487,0.001487,0.001487
59,10642.7,0.00933,0.01786,2.23159,1.39002,0.4285,0.28511,0.32774,0.17825,0.40064,0.29537,0.32533,0.15553,0.01138,0.01893,2.32797,1.60894,0.001478,0.001478,0.001478
60,10822.6,0.00899,0.01736,2.20672,1.36074,0.43244,0.34188,0.30113,0.15422,0.45049,0.3474,0.31316,0.14096,0.01179,0.0192,2.34253,1.64406,0.001469,0.001469,0.001469
61,11005.2,0.00898,0.0175,2.14617,1.3596,0.60538,0.28717,0.32132,0.14927,0.60834,0.28385,0.31491,0.13377,0.01139,0.01945,2.34594,1.60152,0.00146,0.00146,0.00146
62,11188.8,0.00903,0.01737,2.1949,1.3645,0.44554,0.31999,0.31913,0.15727,0.63706,0.2698,0.32513,0.13682,0.01167,0.01978,2.30732,1.61805,0.001451,0.001451,0.001451
63,11370.1,0.00915,0.01741,2.1832,1.37149,0.51659,0.33883,0.33868,0.17248,0.36423,0.33142,0.34196,0.14451,0.01199,0.02006,2.20237,1.64482,0.001442,0.001442,0.001442
64,11552.8,0.00915,0.01769,2.18316,1.3644,0.63072,0.29504,0.33613,0.16699,0.50981,0.31367,0.34578,0.15247,0.01172,0.01894,2.27742,1.61861,0.001433,0.001433,0.001433
65,11730,0.00904,0.01719,2.12705,1.33707,0.5964,0.30714,0.31546,0.15287,0.61565,0.31035,0.32907,0.14459,0.01182,0.01909,2.3482,1.67308,0.001424,0.001424,0.001424
66,11909.9,0.00924,0.01762,2.13579,1.36487,0.43999,0.33713,0.31533,0.15475,0.43009,0.33184,0.31708,0.15712,0.0116,0.01881,2.29019,1.60148,0.001415,0.001415,0.001415
67,12090.6,0.00933,0.01759,2.20789,1.39228,0.52696,0.33171,0.32037,0.16645,0.52416,0.32134,0.3209,0.15463,0.01178,0.01885,2.30542,1.63916,0.001406,0.001406,0.001406
68,12271.2,0.00904,0.01746,2.15447,1.36758,0.59746,0.25939,0.31601,0.15596,0.60502,0.26383,0.32535,0.13826,0.01175,0.01872,2.25238,1.63455,0.001397,0.001397,0.001397
69,12452.6,0.00903,0.01744,2.11601,1.34699,0.3123,0.36486,0.31034,0.16676,0.32255,0.37594,0.32032,0.14364,0.01183,0.0193,2.29486,1.65376,0.001388,0.001388,0.001388
70,12633.8,0.00887,0.01712,2.0799,1.34761,0.33275,0.29687,0.32768,0.17113,0.33714,0.30427,0.33567,0.15116,0.01163,0.01899,2.2429,1.60459,0.001379,0.001379,0.001379
71,12813.4,0.00902,0.0172,2.13059,1.3439,0.51874,0.2622,0.33208,0.17575,0.5383,0.26824,0.34098,0.15706,0.01159,0.0186,2.16377,1.62056,0.00137,0.00137,0.00137
72,12993,0.00887,0.01727,2.06494,1.3488,0.67654,0.25778,0.33234,0.171,0.67805,0.26258,0.3331,0.15225,0.01192,0.01898,2.27586,1.64497,0.001361,0.001361,0.001361
73,13177.6,0.00897,0.01739,2.08829,1.33573,0.60974,0.27842,0.32346,0.16364,0.60195,0.28796,0.32698,0.14617,0.01166,0.01888,2.31783,1.62763,0.001352,0.001352,0.001352
74,13357.6,0.00904,0.01735,2.09805,1.36145,0.72947,0.36905,0.37284,0.19392,0.72786,0.36766,0.37768,0.17703,0.01168,0.01857,2.30674,1.63888,0.001343,0.001343,0.001343
75,13537.8,0.00889,0.01703,2.04356,1.35492,0.68477,0.29869,0.32813,0.16048,0.68665,0.30059,0.32977,0.14825,0.01204,0.01929,2.29272,1.666,0.001334,0.001334,0.001334
76,13721.8,0.00884,0.0173,2.06022,1.33929,0.5695,0.27658,0.33274,0.17503,0.58322,0.28818,0.34148,0.14679,0.0118,0.0193,2.25384,1.63962,0.001325,0.001325,0.001325
77,13903.6,0.00893,0.01736,2.09744,1.3398,0.33135,0.40847,0.36109,0.17496,0.31578,0.38547,0.37195,0.15162,0.01161,0.01951,2.30015,1.64484,0.001316,0.001316,0.001316
78,14081.9,0.00895,0.01713,2.06894,1.36319,0.49554,0.29482,0.34192,0.18185,0.4996,0.3033,0.34805,0.15894,0.01148,0.01903,2.31629,1.62637,0.001307,0.001307,0.001307
79,14258.8,0.009,0.01742,2.09075,1.34382,0.34944,0.32647,0.31821,0.16864,0.34806,0.3384,0.32881,0.14996,0.01141,0.01894,2.37291,1.61335,0.001298,0.001298,0.001298
