epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,8788.11,1.07127,4.97539,1.03698,1.12108,0.36492,0.23832,0.22335,0.12788,0.12422,0.07671,0.03576,0.0139,1.57182,5.14117,1.708,1.4719,0.000411184,0.000411184,0.000411184
49,8972.55,1.10729,4.9639,1.06883,1.14674,0.57422,0.21445,0.26131,0.14518,0.25429,0.03846,0.0358,0.00739,1.57961,5.2056,1.71217,1.46655,0.000403571,0.000403571,0.000403571
50,9140.27,1.0928,4.95647,1.04652,1.13521,0.31809,0.28049,0.26901,0.13866,0.13494,0.11626,0.07485,0.02731,1.60462,5.1243,1.61452,1.51272,0.000395958,0.000395958,0.000395958
51,9314.01,1.07835,4.94075,1.00578,1.12457,0.35574,0.27608,0.25695,0.14655,0.4881,0.05308,0.06315,0.02504,1.56234,5.16764,1.60736,1.46908,0.000388345,0.000388345,0.000388345
52,9524.24,1.07658,4.9589,1.00825,1.12551,0.41496,0.30318,0.26552,0.14311,0.17804,0.11984,0.0783,0.02299,1.54873,5.13445,1.65729,1.45,0.000380732,0.000380732,0.000380732
53,9734.82,1.06051,4.97194,1.00608,1.11308,0.38052,0.29868,0.27159,0.15463,0.15053,0.06968,0.05568,0.02699,1.53183,5.18296,1.62825,1.44088,0.000373119,0.000373119,0.000373119
54,9917.45,1.06195,4.93105,0.99708,1.12758,0.29794,0.27193,0.24851,0.14367,0.04122,0.0517,0.01911,0.00733,1.53172,5.13207,1.61012,1.45475,0.000365506,0.000365506,0.000365506
55,10108.3,1.05349,4.93894,0.94353,1.10895,0.55533,0.25335,0.28311,0.15919,0.19354,0.04822,0.0353,0.01486,1.59195,5.13594,1.63441,1.47367,0.000357893,0.000357893,0.000357893
56,10291.8,1.03569,4.95239,0.93973,1.10382,0.48354,0.26721,0.28733,0.17082,0.30837,0.13741,0.11543,0.04571,1.57346,5.143,1.64447,1.47806,0.00035028,0.00035028,0.00035028
57,10440.6,1.02227,4.95356,0.94728,1.08855,0.52449,0.19824,0.24297,0.13588,0.21219,0.06164,0.03636,0.01116,1.53653,5.16154,1.64549,1.45852,0.000342666,0.000342666,0.000342666
58,10635.7,1.02514,4.92277,0.91367,1.08756,0.45537,0.23333,0.25668,0.14908,0.16616,0.10245,0.06099,0.0245,1.59715,5.12393,1.67573,1.47826,0.000335053,0.000335053,0.000335053
59,10818.5,1.02978,4.95852,0.93555,1.08867,0.39383,0.24655,0.26369,0.1522,0.18038,0.07168,0.05663,0.02466,1.55464,5.16613,1.5836,1.47164,0.00032744,0.00032744,0.00032744
60,10998.5,1.00058,4.94412,0.8789,1.07141,0.42142,0.28144,0.26744,0.15238,0.13733,0.09771,0.04719,0.01524,1.60903,5.16499,1.66473,1.47528,0.000319827,0.000319827,0.000319827
61,11232,1.00186,4.93056,0.87604,1.08023,0.39431,0.28721,0.2271,0.13106,0.10431,0.08233,0.03299,0.01056,1.54623,5.16618,1.61379,1.44071,0.000312214,0.000312214,0.000312214
62,11388.2,0.99497,4.94085,0.86782,1.07333,0.37478,0.30785,0.2657,0.15222,0.16339,0.11668,0.07271,0.01859,1.54382,5.16192,1.57962,1.46429,0.000304601,0.000304601,0.000304601
63,11579.6,0.98282,4.93807,0.83715,1.06959,0.36545,0.28242,0.26525,0.15524,0.12301,0.09369,0.0599,0.01848,1.53565,5.16309,1.60025,1.46696,0.000296988,0.000296988,0.000296988
64,11762.4,0.97155,4.94097,0.85577,1.06884,0.42672,0.2322,0.27299,0.15732,0.15466,0.09226,0.05953,0.01771,1.55732,5.14849,1.6456,1.45029,0.000289375,0.000289375,0.000289375
65,11955,0.96875,4.94419,0.82875,1.06835,0.37949,0.28268,0.26493,0.15564,0.10126,0.07836,0.03531,0.01326,1.57493,5.14771,1.5733,1.47237,0.000281762,0.000281762,0.000281762
66,12120.7,0.96643,4.93128,0.84143,1.06191,0.3393,0.26593,0.26592,0.14723,0.12615,0.08417,0.03795,0.01381,1.61238,5.12853,1.70089,1.51899,0.000274148,0.000274148,0.000274148
67,12296.6,0.95938,4.90467,0.82093,1.06042,0.41638,0.23496,0.27632,0.15717,0.23858,0.06613,0.05236,0.01987,1.59548,5.14888,1.67949,1.4828,0.000266535,0.000266535,0.000266535
68,12464.5,0.93262,4.90798,0.79562,1.03637,0.35694,0.28973,0.29012,0.16811,0.31061,0.11831,0.11476,0.04924,1.55402,5.16002,1.62499,1.47641,0.000258922,0.000258922,0.000258922
69,12674.5,0.95847,4.86343,0.81994,1.05745,0.46645,0.29782,0.30826,0.17816,0.20372,0.13152,0.09597,0.04363,1.57846,5.18663,1.61417,1.51284,0.000251309,0.000251309,0.000251309
70,12877.5,0.9339,4.91452,0.78381,1.04992,0.45647,0.29425,0.30665,0.17781,0.18136,0.07918,0.05787,0.02145,1.59666,5.19759,1.60225,1.50842,0.000243696,0.000243696,0.000243696
71,13062.4,0.93236,4.875,0.78062,1.03707,0.40937,0.2983,0.29466,0.17158,0.11916,0.08407,0.04401,0.01985,1.5822,5.17041,1.65705,1.47122,0.000236083,0.000236083,0.000236083
72,13258.1,0.93381,4.9025,0.78785,1.03707,0.43515,0.25343,0.27028,0.15394,0.11756,0.0452,0.0314,0.0162,1.61661,5.20658,1.70793,1.51076,0.00022847,0.00022847,0.00022847
73,13428.8,0.91624,4.91255,0.76518,1.03616,0.6023,0.24131,0.29751,0.16901,0.18906,0.07537,0.05771,0.02747,1.59617,5.13426,1.65588,1.5087,0.000220857,0.000220857,0.000220857
