epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,9440.56,0.00821,0.01639,1.70698,1.3032,0.45225,0.44563,0.40604,0.24077,0.46734,0.46067,0.41902,0.21421,0.01155,0.01802,2.17544,1.66255,0.000742,0.000742,0.000742
45,9660.84,0.00814,0.01615,1.71758,1.28704,0.58347,0.46763,0.44077,0.25658,0.6017,0.48381,0.44913,0.21554,0.0115,0.01821,2.07912,1.67765,0.000736,0.000736,0.000736
46,9882.36,0.00786,0.01602,1.69633,1.25679,0.39162,0.48943,0.41397,0.23256,0.39735,0.49489,0.42213,0.21021,0.01145,0.01813,2.07106,1.69559,0.00073,0.00073,0.00073
47,10110.1,0.0081,0.0162,1.67978,1.27589,0.42646,0.42977,0.4188,0.23915,0.41291,0.46668,0.42867,0.20783,0.01143,0.01853,2.09023,1.67282,0.000724,0.000724,0.000724
48,10335.2,0.00818,0.01637,1.7229,1.2901,0.42816,0.50102,0.44915,0.26685,0.42601,0.49887,0.4422,0.20964,0.01149,0.01912,2.16929,1.67719,0.000718,0.000718,0.000718
49,10563.8,0.00804,0.01614,1.6944,1.29886,0.30159,0.36156,0.37503,0.22178,0.31474,0.38536,0.37991,0.18898,0.01148,0.01856,2.20994,1.67382,0.000712,0.000712,0.000712
50,10788,0.00815,0.0164,1.74774,1.3128,0.38975,0.34748,0.40353,0.23232,0.40265,0.35647,0.4026,0.2042,0.01132,0.01855,2.10098,1.67504,0.000706,0.000706,0.000706
51,11016.9,0.00806,0.01602,1.7075,1.30507,0.45715,0.34966,0.42339,0.25177,0.45223,0.34532,0.42136,0.20649,0.01118,0.0184,2.12763,1.65454,0.0007,0.0007,0.0007
52,11250.5,0.00807,0.01611,1.70298,1.28838,0.3993,0.40154,0.38829,0.22116,0.40683,0.40968,0.38878,0.19226,0.01157,0.01878,2.13919,1.65981,0.000694,0.000694,0.000694
53,11476.6,0.00796,0.01599,1.696,1.27377,0.45757,0.39638,0.41573,0.24101,0.45018,0.3883,0.41382,0.20092,0.01151,0.01878,2.11259,1.7039,0.000688,0.000688,0.000688
54,11693.7,0.00808,0.01639,1.68351,1.28434,0.37742,0.43712,0.41028,0.22833,0.41453,0.44908,0.4103,0.2019,0.01147,0.01852,2.08621,1.67458,0.000682,0.000682,0.000682
55,11920.1,0.00814,0.01639,1.73911,1.28408,0.42217,0.43357,0.41881,0.24418,0.43282,0.47242,0.42278,0.21116,0.01142,0.01847,2.04383,1.6671,0.000676,0.000676,0.000676
56,12148.3,0.00816,0.01635,1.67235,1.29683,0.36895,0.4637,0.40907,0.23124,0.36671,0.462,0.40543,0.20704,0.01161,0.01865,2.03772,1.67932,0.00067,0.00067,0.00067
57,12367.5,0.00818,0.01638,1.68293,1.2775,0.42836,0.35057,0.40208,0.23339,0.43357,0.36072,0.41015,0.20323,0.01135,0.01821,2.04413,1.66293,0.000664,0.000664,0.000664
58,12586.4,0.00806,0.01594,1.70179,1.27836,0.5752,0.36041,0.41362,0.24337,0.57157,0.35895,0.41304,0.21225,0.01134,0.01841,2.03504,1.67725,0.000658,0.000658,0.000658
59,12810,0.00806,0.0163,1.69302,1.29555,0.60507,0.37691,0.39474,0.23132,0.49924,0.39309,0.3976,0.20234,0.01133,0.01842,2.0565,1.66427,0.000652,0.000652,0.000652
60,13033.5,0.00802,0.01608,1.65999,1.27584,0.52392,0.36388,0.40783,0.24173,0.51279,0.3554,0.40197,0.18694,0.01132,0.01886,2.12171,1.6624,0.000646,0.000646,0.000646
61,13256.8,0.00814,0.01639,1.71406,1.29353,0.71008,0.32537,0.39264,0.22933,0.69078,0.34362,0.39236,0.2024,0.01135,0.01872,2.09466,1.67428,0.00064,0.00064,0.00064
62,13481.2,0.00802,0.01609,1.69719,1.27156,0.69106,0.38174,0.41567,0.24575,0.38608,0.45957,0.42228,0.20533,0.01147,0.01841,2.04402,1.6979,0.000634,0.000634,0.000634
63,13704.1,0.00792,0.01607,1.65066,1.27145,0.55532,0.41405,0.41924,0.24396,0.52873,0.4175,0.41164,0.20487,0.01142,0.01855,2.06973,1.67812,0.000628,0.000628,0.000628
64,13927.5,0.00792,0.01607,1.62916,1.25695,0.69303,0.33632,0.37727,0.21259,0.70318,0.33445,0.39099,0.19614,0.01155,0.01877,2.04466,1.68691,0.000622,0.000622,0.000622
65,14148.6,0.00799,0.01572,1.59778,1.26612,0.48679,0.4192,0.38748,0.22159,0.50182,0.42984,0.39668,0.18739,0.01144,0.01891,2.15562,1.69226,0.000616,0.000616,0.000616
66,14376.8,0.00789,0.01612,1.66949,1.25982,0.52445,0.43136,0.39972,0.23706,0.5407,0.42801,0.39651,0.20384,0.01135,0.01882,2.03446,1.68696,0.00061,0.00061,0.00061
67,14605.4,0.00812,0.01638,1.67751,1.29799,0.51221,0.35929,0.38903,0.22855,0.53171,0.37601,0.40546,0.19825,0.01149,0.01879,2.12353,1.69449,0.000604,0.000604,0.000604
68,14833.7,0.00785,0.01571,1.62589,1.25677,0.37653,0.42391,0.39274,0.21587,0.36192,0.41793,0.39186,0.18986,0.01137,0.01863,2.03117,1.66785,0.000598,0.000598,0.000598
69,15073.2,0.00805,0.01617,1.68386,1.28061,0.42662,0.45286,0.40707,0.24212,0.42903,0.45992,0.41417,0.20049,0.0115,0.01838,2.01244,1.69717,0.000592,0.000592,0.000592
70,15310.5,0.0079,0.01607,1.63502,1.26517,0.51463,0.39829,0.39862,0.2402,0.52636,0.40616,0.407,0.20313,0.01142,0.01882,2.0134,1.70687,0.000586,0.000586,0.000586
71,15547.5,0.0079,0.01597,1.67163,1.25813,0.65172,0.38338,0.39908,0.23454,0.66401,0.38196,0.40959,0.19633,0.01139,0.01791,2.0354,1.68395,0.00058,0.00058,0.00058
72,15783.9,0.00801,0.01621,1.67038,1.27898,0.71242,0.32991,0.40421,0.23673,0.70761,0.33257,0.40201,0.19572,0.01126,0.01926,2.08697,1.66561,0.000574,0.000574,0.000574
73,16019.9,0.00788,0.01608,1.64574,1.27827,0.7507,0.31823,0.39353,0.23782,0.77431,0.33317,0.41262,0.20216,0.01127,0.01857,2.06314,1.69062,0.000568,0.000568,0.000568
74,16251.9,0.00797,0.01592,1.69365,1.2893,0.3628,0.47218,0.38365,0.22673,0.37369,0.48132,0.38619,0.20115,0.01149,0.01853,2.04573,1.71569,0.000562,0.000562,0.000562
75,16473.5,0.00785,0.0157,1.62725,1.26362,0.31429,0.47589,0.37773,0.22286,0.31369,0.47264,0.37896,0.19722,0.01134,0.01848,2.05407,1.68427,0.000556,0.000556,0.000556
76,16697.9,0.00792,0.01607,1.66654,1.27057,0.37839,0.46609,0.40922,0.23729,0.39168,0.48714,0.41788,0.20841,0.01141,0.01811,1.9917,1.68704,0.00055,0.00055,0.00055
77,16924.1,0.00777,0.01576,1.62072,1.26282,0.62168,0.3693,0.39699,0.2407,0.63445,0.38735,0.40855,0.1968,0.01136,0.01857,2.08632,1.66422,0.000544,0.000544,0.000544
78,17146.9,0.00776,0.0156,1.59565,1.25942,0.41715,0.44871,0.42273,0.2503,0.3897,0.48227,0.41964,0.20859,0.01132,0.01859,2.00158,1.66362,0.000538,0.000538,0.000538
79,17375.2,0.00788,0.01591,1.63665,1.25471,0.65002,0.34567,0.40367,0.2395,0.46519,0.46239,0.4234,0.20691,0.01125,0.01889,2.05382,1.65932,0.000532,0.000532,0.000532
80,17598.7,0.0079,0.01605,1.6146,1.25959,0.37434,0.43811,0.41476,0.242,0.39756,0.51376,0.42374,0.20818,0.01139,0.01839,2.03572,1.69689,0.000526,0.000526,0.000526
81,17823.8,0.00789,0.01599,1.63325,1.27301,0.66773,0.37514,0.42522,0.24394,0.66551,0.38204,0.42684,0.20935,0.01106,0.01825,2.03481,1.63627,0.00052,0.00052,0.00052
82,18041.1,0.00774,0.01564,1.57116,1.2612,0.44525,0.47721,0.44814,0.26026,0.433,0.51188,0.45157,0.21986,0.01128,0.0183,2.07267,1.6763,0.000514,0.000514,0.000514
83,18259.1,0.00781,0.01571,1.56858,1.25601,0.42996,0.43764,0.43558,0.25368,0.43316,0.4353,0.43376,0.20563,0.01111,0.02006,2.07137,1.66027,0.000508,0.000508,0.000508
84,18481.3,0.00789,0.01614,1.64198,1.24289,0.4533,0.45611,0.41873,0.24447,0.46843,0.46732,0.43346,0.2139,0.01108,0.01848,2.07454,1.64448,0.000502,0.000502,0.000502
85,18703.1,0.00791,0.0161,1.62581,1.25698,0.68201,0.35494,0.41214,0.24142,0.6596,0.35107,0.41206,0.20119,0.01112,0.01846,2.03927,1.65192,0.000496,0.000496,0.000496
86,18926.7,0.0078,0.01595,1.59717,1.24505,0.53124,0.36559,0.38133,0.22933,0.51488,0.36718,0.38727,0.19604,0.01129,0.01851,2.12874,1.67629,0.00049,0.00049,0.00049
87,19148.9,0.00783,0.01601,1.59221,1.26254,0.34378,0.50664,0.40318,0.23249,0.35446,0.52733,0.41329,0.20488,0.01146,0.01849,2.08514,1.70318,0.000484,0.000484,0.000484
88,19370.8,0.00783,0.01569,1.61559,1.2816,0.50711,0.36966,0.4026,0.23187,0.51296,0.37612,0.40608,0.20055,0.01127,0.01798,2.09352,1.67372,0.000478,0.000478,0.000478
89,19596.8,0.00781,0.01577,1.58032,1.24601,0.64558,0.37776,0.39779,0.22442,0.65439,0.39273,0.4106,0.19215,0.01149,0.01818,2.09523,1.71042,0.000472,0.000472,0.000472
90,19821.2,0.00796,0.01602,1.61186,1.27272,0.53776,0.36522,0.40704,0.23769,0.5513,0.39071,0.41733,0.20227,0.01138,0.01834,2.06915,1.67434,0.000466,0.000466,0.000466
